,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipAccumulation,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,39.74,1.0,34.83,0.71,cloudy,0.0,0.0,0.0,1027.8,Overcast,43.61,1420092000,0,9.997,39.0,6.71,6.54
1,41.03,1.0,34.85,0.71,cloudy,0.0,0.0,0.0,1027.4,Overcast,43.65,1420095600,0,9.997,31.0,6.04,4.63
2,40.6,1.0,36.05,0.77,rain,0.0,0.0069,0.68,1026.8,Drizzle,42.93,1420099200,0,9.976,30.0,4.34,4.11
3,39.49,1.0,35.77,0.76,cloudy,0.0,0.0012,0.14,1026.1,Overcast,42.86,1420102800,0,9.997,40.0,5.49,5.49
4,38.29,1.0,35.73,0.77,cloudy,0.0,0.0005,0.13,1025.2,Overcast,42.46,1420106400,0,9.997,21.0,6.65,6.65
5,37.69,1.0,35.84,0.79,cloudy,0.0,0.0017,0.16,1024.6,Overcast,41.89,1420110000,0,9.997,32.0,6.52,6.52
6,37.53,0.76,36.47,0.81,partly-cloudy-night,0.0,0.0013,0.16,1023.8,Mostly Cloudy,41.73,1420113600,0,9.997,52.0,6.46,6.46
7,38.98,1.0,37.38,0.84,cloudy,0.0,0.0011,0.12,1025.1,Overcast,41.89,1420117200,0,9.997,2.0,4.62,4.62
8,36.48,1.0,38.05,0.89,cloudy,0.0,0.0014,0.14,1025.9,Overcast,41.17,1420120800,0,6.002000000000001,2.0,7.13,7.13
9,36.23,1.0,38.85,0.92,rain,0.0,0.0124,0.91,1026.0,Drizzle,41.04,1420124400,1,6.059,30.0,7.29,7.29
10,37.11,1.0,39.15,0.9,cloudy,0.0,0.0032,0.23,1025.5,Overcast,41.88,1420128000,1,7.079,40.0,8.58,7.53
11,37.99,1.0,39.79,0.89,cloudy,0.0,0.0005,0.06,1024.6,Overcast,42.66,1420131600,2,9.953,50.0,8.37,7.69
12,39.6,1.0,40.03,0.89,cloudy,0.0,0.0014,0.09,1023.7,Overcast,42.94,1420135200,3,9.809,41.0,6.41,5.46
13,38.97,1.0,41.45,0.95,rain,0.0,0.0068,0.86,1022.0,Drizzle,42.9,1420138800,3,1.5590000000000002,33.0,6.4,6.4
14,40.46,1.0,41.69,0.93,rain,0.0,0.018000000000000002,0.88,1020.8,Light Rain,43.59,1420142400,2,1.58,40.0,5.35,5.33
15,41.11,1.0,42.49,0.95,rain,0.0,0.0189,0.95,1020.0,Light Rain,43.82,1420146000,1,2.043,41.0,5.43,4.78
16,41.63,1.0,42.67,0.93,rain,0.0,0.0092,0.32,1020.1,Possible Drizzle,44.48,1420149600,1,2.044,31.0,5.14,5.14
17,41.73,1.0,42.85,0.95,rain,0.0,0.023,0.93,1020.2,Light Rain,44.19,1420153200,0,2.099,39.0,4.55,4.55
18,42.51,1.0,43.58,0.96,rain,0.0,0.0173,0.95,1020.2,Light Rain,44.73,1420156800,0,2.06,21.0,4.42,4.33
19,43.37,1.0,43.91,0.94,rain,0.0,0.0173,0.92,1020.1,Light Rain,45.45,1420160400,0,2.045,50.0,4.93,4.31
20,42.72,1.0,44.51,0.96,rain,0.0,0.0158,0.95,1019.8,Light Rain,45.59,1420164000,0,2.082,59.0,5.49,5.49
21,43.11,1.0,44.69,0.96,rain,0.0,0.0039,0.36,1020.0,Possible Drizzle,45.81,1420167600,0,2.127,48.0,5.29,5.29
22,45.01,1.0,44.84,0.94,rain,0.0,0.0021,0.3,1020.2,Possible Drizzle,46.39,1420171200,0,2.073,28.0,4.44,3.63
23,44.27,1.0,45.34,0.96,cloudy,0.0,0.001,0.16,1019.7,Overcast,46.33,1420174800,0,2.008,29.0,4.7,4.48
24,44.67,1.0,45.38,0.96,cloudy,0.0,0.0015,0.24,1019.6,Overcast,46.57,1420178400,0,2.0,30.0,4.3,4.3
25,44.47,1.0,45.46,0.96,rain,0.0,0.0014,0.25,1019.6,Possible Drizzle,46.46,1420182000,0,1.98,3.0,4.81,4.41
26,44.43,1.0,45.51,0.96,fog,0.0,0.001,0.17,1019.3,Foggy,46.48,1420185600,0,1.744,21.0,4.48,4.48
27,44.25,1.0,45.54,0.96,rain,0.0,0.0071,0.67,1019.5,Drizzle,46.57,1420189200,0,1.746,2.0,4.99,4.9
